arm,loss,level_weighted,variant,fold_id,test_year,covers_covid,headline,seed,best_epoch,ensemble,mae,rmse,peak_mae,peak_cells,cells
huber,huber,False,v1,7,2023,False,True,2,68.0,False,18.70987319946289,42.52275848388672,34.326744079589844,363,1300
huber,huber,False,v1,7,2023,False,True,-1,67.66666666666667,True,18.69737434387207,42.23683166503906,34.03549575805664,363,1300
level_weighted,mse,True,v1,7,2023,False,True,0,43.0,False,18.705400466918945,42.20503616333008,34.853172302246094,363,1300
level_weighted,mse,True,v1,7,2023,False,True,1,46.0,False,18.706388473510742,42.09354019165039,35.51146697998047,363,1300
level_weighted,mse,True,v1,7,2023,False,True,2,47.0,False,18.764280319213867,42.43512725830078,35.54372024536133,363,1300
level_weighted,mse,True,v1,7,2023,False,True,-1,45.333333333333336,True,18.662561416625977,42.1447639465332,35.232181549072266,363,1300
huber_weighted,huber,True,v1,7,2023,False,True,0,80.0,False,18.434633255004883,41.89652633666992,33.62706756591797,363,1300
huber_weighted,huber,True,v1,7,2023,False,True,1,97.0,False,18.484010696411133,41.934791564941406,34.0535774230957,363,1300
huber_weighted,huber,True,v1,7,2023,False,True,2,71.0,False,18.54608726501465,42.27032470703125,33.88011169433594,363,1300
huber_weighted,huber,True,v1,7,2023,False,True,-1,82.66666666666667,True,18.42700958251953,41.910465240478516,33.726280212402344,363,1300
quantile,quantile,True,v1,7,2023,False,True,0,39.0,False,18.390077590942383,42.27107620239258,32.63826370239258,363,1300
quantile,quantile,True,v1,7,2023,False,True,1,13.0,False,18.3519229888916,42.32732391357422,32.15228271484375,363,1300
quantile,quantile,True,v1,7,2023,False,True,2,80.0,False,18.296968460083008,41.968055725097656,32.021263122558594,363,1300
quantile,quantile,True,v1,7,2023,False,True,-1,44.0,True,18.297529220581055,42.082454681396484,32.209014892578125,363,1300
baseline,mse,False,v1,8,2024,False,True,0,10.0,False,9.874927520751953,18.655893325805664,22.881872177124023,145,1300
baseline,mse,False,v1,8,2024,False,True,1,14.0,False,10.146541595458984,19.2130184173584,23.784025192260742,145,1300
baseline,mse,False,v1,8,2024,False,True,2,11.0,False,10.242286682128906,19.502099990844727,23.839645385742188,145,1300
baseline,mse,False,v1,8,2024,False,True,-1,11.666666666666666,True,10.003868103027344,18.914745330810547,23.388826370239258,145,1300
huber,huber,False,v1,8,2024,False,True,0,13.0,False,9.942805290222168,19.100189208984375,23.051570892333984,145,1300
huber,huber,False,v1,8,2024,False,True,1,32.0,False,10.033123970031738,19.242156982421875,22.797182083129883,145,1300
huber,huber,False,v1,8,2024,False,True,2,18.0,False,10.176321983337402,19.599254608154297,23.721790313720703,145,1300
huber,huber,False,v1,8,2024,False,True,-1,21.0,True,10.006277084350586,19.19458770751953,23.132734298706055,145,1300
level_weighted,mse,True,v1,8,2024,False,True,0,10.0,False,10.055452346801758,19.729236602783203,23.872989654541016,145,1300
level_weighted,mse,True,v1,8,2024,False,True,1,11.0,False,10.083483695983887,19.91438865661621,23.991558074951172,145,1300
level_weighted,mse,True,v1,8,2024,False,True,2,4.0,False,10.140351295471191,20.108186721801758,24.408109664916992,145,1300
level_weighted,mse,True,v1,8,2024,False,True,-1,8.333333333333334,True,10.078317642211914,19.875728607177734,24.086584091186523,145,1300
huber_weighted,huber,True,v1,8,2024,False,True,0,9.0,False,10.187115669250488,19.95376205444336,23.91212272644043,145,1300
huber_weighted,huber,True,v1,8,2024,False,True,1,25.0,False,10.09957218170166,19.69435691833496,23.331607818603516,145,1300
huber_weighted,huber,True,v1,8,2024,False,True,2,26.0,False,10.042113304138184,19.51434326171875,23.398771286010742,145,1300
huber_weighted,huber,True,v1,8,2024,False,True,-1,20.0,True,10.074275970458984,19.6503963470459,23.496562957763672,145,1300
quantile,quantile,True,v1,8,2024,False,True,0,8.0,False,10.085284233093262,19.84745979309082,23.767948150634766,145,1300
quantile,quantile,True,v1,8,2024,False,True,1,16.0,False,10.106695175170898,19.887889862060547,24.085905075073242,145,1300
