date,canonical_name,rainfall_era5,rainfall_chirps,difference_mm,agreement
2012-11-27,Gampaha,64.00121754355308,36.17986109661661,27.82,era5 only
2012-12-17,Gampaha,7.156327510695939,51.51542407896459,-44.36,chirps only
2013-01-07,Gampaha,101.35278132095566,32.21111803477773,69.14,era5 only
2013-03-24,Gampaha,95.39278405569324,31.45154323403563,63.94,era5 only
2013-05-13,Gampaha,19.395408106391265,51.73900092417695,-32.34,chirps only
2013-09-07,Gampaha,5.815238650468912,55.05297141474836,-49.24,chirps only
2013-09-12,Gampaha,20.534121024355105,112.72447114517216,-92.19,chirps only
2013-10-18,Gampaha,22.191871562886547,56.62446134404171,-34.43,chirps only
2014-06-12,Gampaha,27.634584909666675,52.51499110137111,-24.88,chirps only
2014-10-03,Gampaha,15.357404689349416,51.33784932024512,-35.98,chirps only
2014-12-20,Gampaha,60.15864175863687,19.456553759028136,40.7,era5 only
2014-12-22,Gampaha,50.099151579354775,21.86750256999587,28.23,era5 only
2014-12-25,Gampaha,63.18535627787909,29.83985648418028,33.35,era5 only
2015-04-20,Gampaha,57.51126997093922,19.124452897048577,38.39,era5 only
2015-10-13,Gampaha,62.515507190769135,23.284511232774467,39.23,era5 only
2015-10-16,Gampaha,64.64399474117214,21.333895838657,43.31,era5 only
2015-10-18,Gampaha,122.78773251899209,19.823503987863337,102.96,era5 only
2015-10-27,Gampaha,57.253522101037866,7.109512174123469,50.14,era5 only
2016-05-14,Gampaha,49.47652865121589,60.70584445535216,-11.23,chirps only
2016-05-15,Gampaha,279.0117956822899,94.10191225351856,184.91,both
2016-05-16,Gampaha,54.98831585462414,91.5625575477936,-36.57,both
2016-05-17,Gampaha,58.19287900256028,84.88223345547719,-26.69,both
2016-05-19,Gampaha,27.196289729346475,98.0868400539936,-70.89,chirps only
2016-05-27,Gampaha,28.126324538824964,82.67379946234645,-54.55,chirps only
2016-05-31,Gampaha,15.937981245753289,51.62654104384114,-35.69,chirps only
2017-05-29,Gampaha,27.13962032132167,52.181481897232686,-25.04,chirps only
2017-09-07,Gampaha,10.668313617797454,51.43683840583477,-40.77,chirps only
2017-10-30,Gampaha,57.98498194665356,23.23537211361204,34.75,era5 only
2017-10-31,Gampaha,74.05166721166312,21.3387106347358,52.71,era5 only
2017-11-04,Gampaha,51.442536901959,22.248069162328672,29.19,era5 only
2018-05-20,Gampaha,19.66345716561084,51.50305086649729,-31.84,chirps only
2018-09-29,Gampaha,75.16019193368925,14.316688234550066,60.84,era5 only
2018-09-30,Gampaha,90.9908608470645,15.780753367568114,75.21,era5 only
2019-06-21,Gampaha,12.218380476598757,58.89127403549095,-46.67,chirps only
2019-08-13,Gampaha,55.4064958128964,18.3035916701986,37.1,era5 only
2019-09-15,Gampaha,9.754726202533842,52.65150871663993,-42.9,chirps only
2019-10-03,Gampaha,50.55743365968765,24.93993594114807,25.62,era5 only
2019-10-15,Gampaha,101.4602183374938,31.074452084241067,70.39,era5 only
2019-10-20,Gampaha,60.295518172424906,25.788486601516983,34.51,era5 only
